"NLists" "NSppDetec"
"4027" 2 2
"4035" 1 1
"4047" 1 1
"4048" 1 1
"4050" 2 2
"4052" 1 1
"4054" 1 1
"4055" 4 3
"4057" 2 2
"4059" 2 2
"4064" 1 1
"4066" 4 3
"4068" 2 2
"4077" 1 1
"4087" 1 1
"4088" 1 1
"4089" 1 1
"4090" 2 2
"4092" 1 1
"4093" 2 1
"4097" 3 3
"4099" 2 2
"4100" 1 1
"4104" 1 1
"4105" 1 1
"4119" 1 1
"4120" 2 2
"4122" 1 1
"4123" 1 1
"4124" 2 1
"4125" 1 1
"4127" 3 1
"4128" 6 3
"4130" 2 1
"4136" 1 1
"4137" 4 3
"4138" 2 2
"4141" 1 1
"4144" 4 1
"4147" 1 1
"4150" 7 1
"4153" 1 1
"4159" 1 1
"4160" 1 1
"4161" 1 1
"4162" 2 2
"4163" 9 2
"4168" 3 3
"4170" 1 1
"4184" 1 1
"4185" 1 1
"4192" 9 2
"4193" 1 1
"4194" 5 3
"4195" 3 2
"4197" 1 1
"4199" 2 2
"4200" 1 1
"4202" 1 1
"4205" 7 2
"4208" 5 3
"4209" 2 2
"4210" 1 1
"4222" 3 3
"4223" 1 1
"4225" 1 1
"4229" 3 2
"4230" 4 2
"4232" 2 2
"4233" 1 1
"4235" 1 1
"4236" 1 1
"4238" 2 2
"4239" 5 3
"4242" 2 1
"4246" 7 2
"4247" 1 1
"4254" 1 1
"4256" 1 1
"4265" 1 1
"4266" 5 2
"4267" 1 1
"4270" 1 1
"4272" 4 2
"4277" 1 1
"4280" 5 3
"4297" 3 2
"4298" 7 3
"4299" 2 2
"4300" 4 2
"4301" 6 3
"4308" 1 1
"4309" 2 2
"4310" 3 2
"4311" 6 2
"4324" 1 1
"4327" 2 2
"4330" 1 1
"4331" 8 3
"4332" 3 2
"4333" 5 3
"4334" 3 1
"4335" 2 1
"4336" 1 1
"4337" 2 2
"4340" 2 2
"4341" 2 1
"4342" 3 3
"4346" 4 3
"4352" 1 1
"4354" 2 2
"4356" 1 1
"4361" 3 2
"4364" 1 1
"4365" 1 1
"4367" 1 1
"4368" 11 3
"4369" 9 3
"4370" 3 2
"4371" 1 1
"4376" 3 2
"4377" 3 3
"4378" 3 2
"4379" 2 2
"4380" 1 1
"4385" 1 1
"4392" 1 1
"4398" 6 3
"4399" 3 2
"4400" 1 1
"4401" 8 3
"4402" 4 3
"4404" 10 3
"4406" 1 1
"4408" 9 3
"4409" 4 2
"4410" 1 1
"4420" 1 1
"4429" 1 1
"4430" 1 1
"4431" 2 1
"4432" 2 2
"4435" 2 2
"4437" 1 1
"4438" 1 1
"4440" 3 1
"4444" 4 2
"4445" 3 2
"4446" 3 2
"4447" 1 1
"4451" 2 2
"4466" 3 2
"4467" 2 1
"4468" 5 1
"4469" 1 1
"4470" 1 1
"4471" 1 1
"4473" 1 1
"4474" 1 1
"4475" 9 3
"4476" 6 1
"4477" 1 1
"4485" 1 1
"4491" 12 1
"4494" 1 1
"4496" 1 1
"4499" 1 1
"4501" 1 1
"4502" 1 1
"4503" 1 1
"4505" 6 2
"4506" 1 1
"4512" 1 1
"4513" 1 1
"4522" 2 1
"4523" 1 1
"4524" 3 1
"4525" 1 1
"4532" 1 1
"4533" 4 2
"4534" 2 2
"4535" 1 1
"4539" 1 1
"4540" 13 3
"4541" 8 2
"4542" 8 1
"4543" 1 1
"4549" 4 1
"4555" 10 2
"4558" 1 1
"4559" 1 1
"4560" 1 1
"4561" 1 1
"4563" 1 1
"4566" 1 1
"4567" 3 1
"4568" 1 1
"4569" 4 2
"4570" 1 1
"4575" 1 1
"4576" 6 2
"4577" 3 1
"4581" 2 2
"4586" 2 1
"4587" 2 1
"4588" 3 2
"4590" 1 1
"4596" 2 2
"4598" 4 2
"4599" 2 2
"4604" 13 4
"4605" 13 3
"4606" 2 1
"4607" 4 2
"4608" 1 1
"4612" 2 1
"4617" 3 2
"4620" 1 1
"4621" 2 1
"4622" 3 1
"4623" 2 2
"4624" 2 1
"4625" 2 2
"4631" 1 1
"4632" 1 1
"4633" 2 2
"4634" 1 1
"4635" 1 1
"4640" 3 1
"4641" 2 1
"4643" 2 2
"4649" 2 1
"4651" 3 2
"4652" 10 2
"4653" 2 2
"4660" 1 1
"4661" 1 1
"4662" 3 2
"4668" 13 2
"4669" 11 2
"4670" 16 2
"4671" 10 2
"4675" 1 1
"4679" 1 1
"4682" 1 1
"4683" 1 1
"4684" 4 2
"4688" 4 2
"4689" 1 1
"4691" 1 1
"4693" 2 1
"4708" 1 1
"4710" 1 1
"4715" 3 1
"4716" 2 1
"4717" 5 2
"4718" 2 1
"4724" 1 1
"4725" 9 2
"4733" 17 3
"4738" 3 2
"4743" 1 1
"4744" 1 1
"4745" 2 1
"4746" 1 1
"4748" 5 2
"4752" 1 1
"4754" 1 1
"4756" 1 1
"4768" 1 1
"4770" 1 1
"4775" 5 3
"4777" 1 1
"4778" 1 1
"4784" 5 2
"4794" 14 3
"4798" 1 1
"4799" 1 1
"4800" 9 1
"4801" 1 1
"4802" 1 1
"4807" 1 1
"4808" 3 2
"4810" 1 1
"4818" 3 2
"4820" 1 1
"4822" 2 2
"4826" 1 1
"4827" 1 1
"4828" 8 2
"4829" 1 1
"4830" 2 2
"4831" 10 3
"4840" 2 1
"4842" 1 1
"4844" 1 1
"4845" 1 1
"4847" 1 1
"4848" 1 1
"4853" 4 2
"4854" 1 1
"4861" 4 2
"4863" 1 1
"4869" 1 1
"4870" 1 1
"4871" 3 2
"4872" 2 1
"4873" 3 2
"4881" 8 3
"4883" 2 2
"4887" 3 2
"4888" 2 1
"4890" 2 2
"4895" 3 3
"4896" 1 1
"4899" 4 2
"4901" 1 1
"4904" 2 1
"4905" 1 1
"4908" 1 1
"4909" 1 1
"4911" 3 2
"4912" 4 2
"4913" 1 1
"4917" 1 1
"4919" 1 1
"4924" 2 1
"4925" 1 1
"4927" 1 1
"4928" 2 2
"4936" 2 1
"4939" 1 1
"4940" 5 1
"4941" 2 2
"4955" 2 2
"4957" 2 2
"4962" 2 2
"4963" 2 2
"4964" 1 1
"4972" 6 2
"4974" 2 1
"4976" 2 1
"4977" 2 2
"4983" 3 2
"4989" 2 1
"4992" 1 1
"4999" 3 1
"5000" 2 2
"5001" 2 1
"5005" 1 1
"5006" 1 1
"5008" 1 1
"5010" 1 1
"5011" 6 2
"5012" 4 2
"5015" 2 1
"5018" 3 3
"5023" 2 2
"5025" 6 2
"5027" 3 1
"5032" 1 1
"5033" 3 1
"5034" 3 2
"5035" 2 1
"5039" 10 5
"5040" 5 3
"5044" 1 1
"5045" 5 3
"5046" 1 1
"5047" 1 1
"5056" 3 3
"5060" 2 2
"5065" 3 1
"5077" 2 1
"5078" 1 1
"5086" 2 2
"5095" 1 1
"5097" 4 2
"5099" 4 2
"5102" 1 1
"5103" 1 1
"5108" 11 3
"5111" 1 1
"5112" 1 1
"5113" 2 2
"5133" 18 3
"5135" 5 3
"5137" 2 1
"5138" 3 2
"5139" 11 2
"5149" 1 1
"5155" 1 1
"5158" 3 1
"5159" 12 3
"5170" 3 1
"5171" 3 2
"5175" 57 3
"5176" 21 1
"5177" 34 3
"5178" 66 3
"5179" 10 1
"5191" 5 3
"5193" 29 2
"5194" 105 3
"5195" 26 1
"5196" 21 3
"5197" 21 2
"5198" 81 3
"5199" 24 1
"5205" 1 1
"5206" 2 1
"5209" 4 2
"5210" 2 2
"5212" 3 2
"5213" 2 1
"5216" 22 4
"5217" 69 4
"5218" 5 1
"5219" 8 2
"5220" 16 2
"5221" 23 4
"5222" 76 3
"5223" 29 2
"5230" 8 2
"5232" 4 2
"5233" 2 1
"5238" 20 3
"5239" 42 4
"5240" 10 2
"5241" 7 2
"5242" 3 1
"5243" 22 3
"5244" 11 1
"5245" 15 2
"5246" 34 3
"5247" 53 3
"5248" 4 1
"5254" 2 2
"5256" 1 1
"5262" 2 2
"5263" 11 4
"5264" 26 3
"5265" 6 1
"5266" 14 4
"5267" 5 1
"5268" 16 1
"5269" 16 1
"5270" 21 3
"5271" 8 2
"5272" 9 3
"5273" 38 3
"5274" 18 3
"5281" 3 3
"5287" 6 3
"5288" 17 4
"5289" 18 4
"5290" 23 3
"5291" 12 1
"5292" 18 2
"5293" 14 3
"5294" 28 3
"5295" 22 2
"5296" 14 2
"5297" 10 2
"5298" 9 2
"5299" 33 3
"5300" 18 1
"5305" 1 1
"5307" 2 1
"5313" 10 3
"5314" 17 4
"5315" 6 2
"5316" 15 2
"5317" 18 2
"5318" 18 3
"5319" 15 4
"5320" 8 2
"5321" 25 2
"5322" 40 2
"5323" 11 2
"5324" 3 1
"5326" 35 3
"5327" 27 4
"5339" 16 3
"5340" 3 2
"5341" 7 2
"5342" 15 4
"5343" 20 4
"5344" 11 3
"5345" 9 1
"5346" 9 1
"5347" 20 2
"5348" 10 2
"5349" 14 2
"5350" 4 1
"5351" 5 2
"5352" 5 3
"5353" 17 2
"5354" 38 3
"5359" 2 2
"5364" 15 3
"5365" 11 4
"5366" 5 3
"5367" 10 3
"5368" 8 4
"5369" 3 1
"5370" 2 2
"5371" 15 4
"5372" 23 4
"5373" 33 3
"5374" 16 2
"5375" 13 4
"5376" 8 4
"5377" 4 1
"5378" 7 2
"5379" 8 3
"5380" 33 4
"5389" 11 3
"5390" 11 3
"5391" 6 3
"5392" 3 2
"5393" 19 4
"5394" 16 4
"5395" 19 4
"5396" 11 2
"5397" 4 1
"5398" 13 1
"5399" 12 3
"5400" 13 3
"5401" 6 1
"5402" 6 1
"5403" 6 3
"5404" 21 3
"5405" 7 2
"5406" 38 4
"5411" 9 3
"5416" 12 3
"5417" 14 3
"5418" 14 3
"5419" 11 4
"5420" 25 5
"5421" 9 3
"5422" 3 2
"5423" 5 3
"5424" 13 3
"5425" 11 3
"5426" 9 2
"5427" 12 4
"5428" 7 2
"5429" 7 3
"5430" 10 4
"5431" 2 1
"5432" 7 1
"5433" 9 3
"5434" 10 4
"5443" 19 4
"5444" 5 3
"5445" 4 2
"5446" 1 1
"5447" 5 2
"5448" 7 2
"5449" 7 4
"5450" 16 4
"5451" 11 3
"5452" 8 3
"5453" 4 2
"5454" 3 2
"5455" 13 3
"5456" 18 4
"5457" 10 2
"5458" 9 2
"5459" 11 3
"5460" 8 4
"5461" 9 4
"5462" 1 1
"5474" 39 4
"5475" 8 2
"5476" 5 3
"5477" 11 4
"5478" 7 3
"5479" 24 2
"5480" 19 2
"5481" 1 1
"5483" 1 1
"5485" 8 3
"5486" 9 3
"5487" 1 1
"5488" 11 4
"5489" 12 3
"5490" 22 4
"5491" 7 1
"5492" 3 1
"5493" 11 3
"5494" 10 4
"5500" 2 1
"5506" 27 4
"5507" 11 3
"5508" 9 4
"5509" 7 2
"5511" 3 1
"5512" 4 2
"5513" 1 1
"5514" 9 3
"5515" 7 2
"5516" 6 3
"5517" 8 3
"5518" 1 1
"5519" 3 2
"5520" 8 3
"5521" 4 2
"5522" 7 2
"5523" 5 1
"5524" 5 2
"5525" 10 4
"5526" 16 4
"5532" 1 1
"5533" 13 2
"5539" 25 4
"5540" 2 1
"5541" 5 2
"5542" 4 2
"5543" 8 2
"5544" 4 2
"5545" 18 4
"5546" 19 4
"5547" 51 3
"5548" 37 2
"5549" 49 3
"5550" 38 3
"5552" 8 2
"5553" 8 4
"5555" 2 2
"5556" 12 4
"5557" 14 3
