"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"6861" NA 0 NA NA NA NA NA NA NA NA NA NA
"6863" NA NA NA 0 0 NA NA NA NA NA NA NA
"6892" NA NA NA NA 0 NA NA NA NA NA NA NA
"6893" NA NA NA NA 0 NA NA NA NA NA NA NA
"6898" NA 0 NA NA 0 NA NA NA NA NA NA NA
"6900" NA NA NA NA NA NA NA NA NA NA NA 0
"6902" NA NA NA 0 NA NA NA NA NA NA NA NA
"6937" NA NA NA NA NA NA NA NA NA NA NA 0
"6939" NA 0 NA NA NA NA NA NA NA NA NA NA
"6940" NA NA NA NA 0 NA NA NA NA NA NA NA
"6963" NA NA NA NA NA NA NA NA NA NA 1 NA
"7010" NA NA NA NA 0 NA NA NA NA NA NA NA
"7019" NA NA NA NA 0 NA NA NA NA NA NA NA
"7049" 0 NA NA NA NA NA NA NA NA NA NA NA
"7050" NA NA NA NA 0 NA NA NA NA NA NA NA
"7055" NA NA NA NA NA NA NA NA NA NA NA 0
"7098" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"7127" NA NA NA NA NA NA NA 0 NA NA NA NA
"7175" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"7202" NA NA NA NA NA 0 NA NA NA NA NA NA
"7203" NA NA NA NA NA 0 NA NA NA NA NA NA
"7248" NA NA NA 0 NA NA NA NA NA 0 NA NA
"7276" NA NA 0 NA NA NA NA NA NA NA NA NA
"7284" NA NA NA 0 0 NA NA 0 NA 0 0 NA
"7311" NA NA NA NA NA 0 NA NA NA NA NA NA
"7312" NA NA NA NA NA 0 NA NA NA NA NA NA
"7317" NA NA NA NA NA NA NA 0 NA NA NA NA
"7319" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"7320" NA NA NA NA NA NA NA NA NA 0 NA NA
"7350" NA 0 0 NA NA NA NA NA NA NA NA NA
"7358" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"7359" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"7387" 0 NA NA NA NA NA NA NA NA NA NA NA
"7394" NA NA NA 0 0 NA NA NA NA 0 NA NA
"7395" NA NA NA 0 0 NA NA NA NA 0 NA NA
"7396" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"7420" NA 0 0 NA NA 0 NA NA NA NA NA NA
"7426" NA NA NA NA NA NA NA NA NA NA NA 0
"7430" NA NA NA 0 NA NA 0 NA NA NA NA NA
"7456" NA NA NA NA 0 NA NA NA NA NA NA 0
"7457" NA 0 NA NA NA NA NA NA NA NA NA NA
"7462" NA 0 NA NA NA NA NA NA NA NA NA 0
"7467" NA NA NA 0 0 NA 0 NA NA NA NA NA
"7493" 0 NA NA NA NA NA NA NA NA NA NA NA
"7498" NA 0 NA NA NA NA NA NA NA NA NA NA
"7504" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"7530" NA 0 NA NA NA NA NA NA NA NA NA NA
"7537" NA NA NA NA NA NA NA NA NA NA NA 0
"7565" NA NA NA NA NA NA NA NA NA NA NA 0
"7566" NA NA NA NA NA NA NA NA NA NA NA 0
"7572" NA NA NA NA NA NA NA NA 0 NA NA 0
"7574" NA NA NA NA 0 0 0 NA 0 NA NA NA
"7576" NA 0 NA NA NA NA NA NA NA NA NA NA
"7577" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"7601" NA 0 NA 0 NA NA NA NA NA NA NA NA
"7606" NA NA NA NA 0 NA NA NA NA NA NA NA
"7611" NA NA NA NA NA NA NA NA NA NA NA 0
"7643" NA NA NA NA 0 NA NA NA NA NA NA NA
"7646" NA 0 NA NA NA NA NA NA NA NA NA 0
"7648" NA 0 NA NA NA NA NA NA NA NA NA NA
"7652" NA NA NA 0 0 NA 0 NA NA NA NA NA
"7679" NA NA NA 0 NA NA NA NA NA NA NA NA
"7683" NA NA NA NA NA NA NA NA NA NA NA 0
"7685" NA NA NA NA NA NA NA NA NA NA NA 0
"7687" NA NA NA NA NA NA NA NA NA NA NA 0
"7690" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"7822" NA NA NA NA 0 NA NA NA NA NA NA NA
"7834" NA NA NA NA 0 NA NA NA NA NA NA NA
"7842" NA NA 0 NA NA NA NA NA NA NA NA NA
"7844" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"7880" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"7900" NA NA NA NA 0 NA NA NA NA NA NA NA
"7909" NA NA NA 0 NA NA NA NA NA NA NA NA
"7920" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"7987" NA NA NA NA 0 NA NA NA NA NA NA NA
"7996" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"8016" NA NA NA NA NA NA NA NA 0 NA NA NA
"8025" NA NA NA NA 0 NA NA NA NA NA NA NA
"8075" NA NA NA NA NA 0 NA NA NA NA NA NA
"8100" NA NA NA NA 0 0 NA NA NA NA NA NA
"8119" NA NA NA 0 0 NA NA NA NA 0 0 NA
"8165" NA NA NA NA NA 0 NA NA NA NA NA NA
"8166" NA NA NA NA NA NA NA NA NA NA NA 0
"8211" NA 0 NA NA NA NA NA NA NA NA NA NA
"8218" NA NA NA NA 0 NA NA NA NA NA NA NA
"8219" NA NA NA NA NA NA NA NA NA 0 NA NA
"8259" NA NA NA 0 0 NA NA NA NA NA NA NA
"8264" NA NA NA NA NA 0 0 NA NA NA NA NA
"8266" NA NA NA 0 0 NA NA NA NA NA NA NA
"8314" NA NA NA NA 0 NA NA NA NA NA NA NA
"8366" NA NA 0 NA NA NA NA NA NA NA NA NA
"8368" NA NA NA 0 0 NA 0 NA NA NA NA NA
"8379" NA NA NA NA NA NA NA 0 NA NA NA NA
"8420" NA NA NA NA NA NA NA NA NA NA 0 NA
"8421" NA NA NA NA NA NA NA NA 0 NA NA NA
"8422" NA NA NA 0 0 NA NA NA NA NA 0 NA
"8432" NA NA NA NA NA NA 0 NA NA NA NA NA
"8475" NA NA NA NA NA NA NA NA NA NA 0 NA
"8528" NA NA NA 0 0 NA NA NA NA NA 0 NA
"8537" NA NA NA NA NA 0 0 0 0 0 0 NA
"8538" NA NA NA NA NA NA 0 NA 0 NA NA NA
"8539" NA NA NA NA NA 0 0 NA 0 NA NA NA
"8540" NA NA NA NA NA 0 NA NA NA NA 0 NA
"8576" NA NA NA NA NA 0 NA NA 0 0 NA NA
"8577" NA NA NA 0 NA NA 0 NA 0 NA NA NA
"8585" NA NA NA NA 0 NA NA 0 NA NA 0 NA
"8586" NA NA NA NA 0 0 0 NA 0 0 0 NA
"8587" NA NA NA NA NA NA 0 NA 0 NA 0 NA
"8588" NA NA NA NA NA 0 0 NA 0 NA 0 NA
"8589" NA NA NA NA NA NA 0 NA 0 NA NA NA
"8590" NA NA NA NA NA NA 0 NA 0 NA NA NA
"8619" NA 0 NA NA NA NA NA NA NA NA NA NA
"8622" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"8630" NA NA NA NA 0 NA 0 NA 0 0 0 NA
"8631" NA NA NA NA 0 NA 0 NA 0 NA NA NA
"8632" NA NA NA NA 0 NA 0 NA 0 0 0 NA
"8633" NA NA NA NA NA 0 0 NA 0 NA NA NA
"8634" NA NA NA NA NA NA 0 NA 0 NA NA NA
"8666" NA NA NA NA 0 NA NA NA NA NA NA 0
"8667" NA NA NA NA NA NA NA NA NA NA 0 NA
"8676" NA NA NA NA 0 NA 0 NA 0 0 0 NA
"8677" NA NA NA 0 0 NA 0 NA 0 NA 0 NA
"8678" NA NA NA 0 0 0 0 NA NA 0 NA NA
"8679" NA NA NA NA 0 NA 0 NA 0 NA NA NA
"8680" NA NA NA NA NA NA 0 NA 0 NA NA NA
"8681" NA NA NA NA NA 0 NA NA 0 NA NA NA
"8709" NA NA NA NA 0 NA NA NA NA NA NA NA
"8711" NA NA NA NA NA NA 0 NA NA NA NA NA
"8715" NA NA NA 0 0 NA 0 NA NA 0 0 NA
"8727" NA NA 0 0 0 0 0 NA 0 0 0 NA
"8728" NA NA NA NA 0 NA 0 NA NA NA NA NA
"8730" NA NA NA NA NA NA 0 NA NA NA NA NA
"8731" NA NA NA NA NA NA 0 NA NA NA NA NA
"8775" NA NA NA 0 NA NA NA NA NA 0 NA NA
"8776" NA NA NA 0 NA 0 0 NA 0 0 NA NA
"8810" NA NA 0 NA NA NA NA NA NA NA NA NA
"8812" NA NA NA 0 0 NA NA NA 0 NA 0 NA
"8823" NA NA NA NA NA NA NA NA NA 0 NA NA
"8824" NA NA NA 0 NA NA NA NA NA 0 NA NA
"8825" NA NA NA 0 NA NA NA NA NA 0 NA NA
"8860" NA NA NA 0 0 NA 0 NA NA 0 0 NA
