"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"11629" NA NA NA 1 NA NA NA NA NA NA NA NA
"11638" 0 NA NA NA NA 0 NA NA NA NA NA NA
"11640" NA NA NA 0 NA NA NA 0 0 NA NA NA
"11641" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11642" NA NA NA NA 0 0 NA NA NA NA NA NA
"11661" NA NA NA 1 NA NA NA NA NA NA NA 0
"11665" NA NA NA 0 NA NA NA NA NA NA NA NA
"11667" NA NA NA 0 NA NA NA NA NA NA NA NA
"11676" NA NA NA NA NA 0 NA NA NA NA NA NA
"11678" NA NA NA NA NA 0 NA 0 NA NA NA NA
"11679" NA NA NA NA 0 0 NA 0 NA 0 0 NA
"11680" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11685" NA NA NA NA NA NA 0 NA NA NA NA NA
"11697" NA NA NA 0 NA NA NA NA NA NA NA NA
"11701" NA NA NA 1 NA NA NA NA NA NA NA NA
"11703" 1 NA NA NA NA NA NA NA NA NA NA NA
"11705" NA NA NA NA 0 NA NA NA NA NA NA NA
"11706" NA NA NA 0 NA NA NA NA NA NA NA NA
"11718" NA NA NA 0 NA NA 0 NA NA NA NA NA
"11719" NA NA NA NA 0 0 0 1 NA NA NA NA
"11720" NA NA NA NA 0 0 NA NA NA NA NA NA
"11725" NA NA NA NA NA NA 1 NA NA NA NA NA
"11739" NA NA NA 1 NA NA NA NA NA NA NA NA
"11740" NA NA NA 0 NA NA NA NA NA NA NA NA
"11741" NA NA NA NA 0 NA NA NA NA NA NA NA
"11746" 0 NA NA NA NA NA NA NA NA NA NA NA
"11755" 0 NA NA NA NA 0 NA NA NA NA NA NA
"11758" NA NA NA NA NA NA 0 0 NA NA NA NA
"11759" NA NA 0 1 0 0 1 0 NA NA 0 0
"11781" NA NA NA 0 NA NA NA NA NA NA NA NA
"11782" NA NA NA 1 NA NA NA NA NA NA NA NA
"11783" NA NA NA 1 NA NA NA NA NA NA NA NA
"11784" NA NA NA 0 NA 1 NA NA NA NA NA NA
"11786" NA NA NA 1 NA NA NA NA NA NA NA NA
"11787" NA NA NA NA 1 NA NA NA NA NA NA NA
"11788" NA NA NA 0 NA NA NA NA NA NA NA NA
"11796" NA NA NA NA NA 0 NA NA NA NA NA NA
"11799" NA NA NA NA NA NA 0 NA NA NA NA NA
"11800" 0 NA NA NA 1 1 1 0 0 1 NA NA
"11801" NA NA NA NA 0 1 NA 0 NA NA NA NA
"11802" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11803" NA NA NA NA NA NA NA 0 NA NA NA NA
"11804" NA NA NA NA 0 NA NA NA NA NA NA NA
"11806" NA NA NA NA NA 1 NA NA NA NA NA NA
"11821" NA NA NA 0 NA NA NA NA NA NA NA NA
"11823" NA NA NA 1 NA NA NA NA NA NA NA NA
"11824" NA NA NA NA 1 NA NA NA NA NA NA NA
"11825" NA NA NA 1 NA NA NA NA NA NA NA NA
"11828" NA NA NA 1 0 NA NA NA NA NA NA NA
"11829" NA NA NA 0 NA NA NA NA NA NA NA NA
"11834" NA NA NA 0 NA NA NA NA NA NA NA NA
"11840" NA NA NA 0 NA 0 NA NA NA NA NA NA
"11841" NA NA NA 0 NA 0 0 0 NA NA NA NA
"11842" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11843" NA NA NA NA 0 0 NA 0 0 0 NA NA
"11844" NA NA NA NA 0 0 NA 0 0 NA NA NA
